  sid  | stid |   name    | ord | part | opt 
  6972 |   23 | rateus-pl |   0 |    2 |  80
  6972 |   23 | rateus-pl |   0 |    3 |  88
  6972 |   23 | rateus-pl |   0 |    4 |   9
  6973 |   23 | rateus-pl |   2 |    0 |  99
  6973 |   23 | rateus-pl |   2 |    1 |  70
  6973 |   23 | rateus-pl |   2 |    2 |   0
  6973 |   23 | rateus-pl |   2 |    3 |  50
  6973 |   23 | rateus-pl |   2 |    4 |  82
  6974 |   23 | rateus-pl |   1 |    0 |   0
  6974 |   23 | rateus-pl |   1 |    1 |  99
  6974 |   23 | rateus-pl |   1 |    2 |  99
  6974 |   23 | rateus-pl |   1 |    3 |  99
  6974 |   23 | rateus-pl |   1 |    4 |  85
  6975 |   23 | rateus-pl |   3 |    0 |  55
  6975 |   23 | rateus-pl |   3 |    1 |  24
  6975 |   23 | rateus-pl |   3 |    2 |   4
  6975 |   23 | rateus-pl |   3 |    3 |  17
  6975 |   23 | rateus-pl |   3 |    4 |  27
  6977 |   23 | rateus-pl |   0 |    0 |  14
  6977 |   23 | rateus-pl |   0 |    1 |  57
  6977 |   23 | rateus-pl |   0 |    2 |  86
  6977 |   23 | rateus-pl |   0 |    3 |   6
  6977 |   23 | rateus-pl |   0 |    4 |   3
  6978 |   23 | rateus-pl |   1 |    0 |   7
  6978 |   23 | rateus-pl |   1 |    1 |  86
  6978 |   23 | rateus-pl |   1 |    2 |  85
  6978 |   23 | rateus-pl |   1 |    3 |  89
  6978 |   23 | rateus-pl |   1 |    4 |   8
  6979 |   23 | rateus-pl |   2 |    0 |  62
  6979 |   23 | rateus-pl |   2 |    1 |  12
  6979 |   23 | rateus-pl |   2 |    2 |   7
  6979 |   23 | rateus-pl |   2 |    3 |   8
  6979 |   23 | rateus-pl |   2 |    4 |  59
  6980 |   23 | rateus-pl |   3 |    0 |  99
  6980 |   23 | rateus-pl |   3 |    1 |  34
  6980 |   23 | rateus-pl |   3 |    2 |   0
  6980 |   23 | rateus-pl |   3 |    3 |   4
  6980 |   23 | rateus-pl |   3 |    4 |   0
  6981 |   23 | rateus-pl |   3 |    0 |  70
  6981 |   23 | rateus-pl |   3 |    1 |  76
  6981 |   23 | rateus-pl |   3 |    2 |   0
  6981 |   23 | rateus-pl |   3 |    3 |  85
  6981 |   23 | rateus-pl |   3 |    4 |  99
  6982 |   23 | rateus-pl |   0 |    0 |   7
  6982 |   23 | rateus-pl |   0 |    1 |  79
  6982 |   23 | rateus-pl |   0 |    2 |  80
  6982 |   23 | rateus-pl |   0 |    3 |  40
  6982 |   23 | rateus-pl |   0 |    4 |   2
  6983 |   23 | rateus-pl |   1 |    0 |   1
  6983 |   23 | rateus-pl |   1 |    1 |  99
  6983 |   23 | rateus-pl |   1 |    2 |  99
  6983 |   23 | rateus-pl |   1 |    3 |  98
  6983 |   23 | rateus-pl |   1 |    4 |  15
  6984 |   23 | rateus-pl |   2 |    0 |  99
  6984 |   23 | rateus-pl |   2 |    1 |  99
  6984 |   23 | rateus-pl |   2 |    2 |   0
  6984 |   23 | rateus-pl |   2 |    3 |  99
  6984 |   23 | rateus-pl |   2 |    4 |  99
  6985 |   23 | rateus-pl |   0 |    0 |   1
  6985 |   23 | rateus-pl |   0 |    1 |  91
  6985 |   23 | rateus-pl |   0 |    2 |  99
  6985 |   23 | rateus-pl |   0 |    3 |  51
  6985 |   23 | rateus-pl |   0 |    4 |   0
  6986 |   23 | rateus-pl |   2 |    0 |  90
  6986 |   23 | rateus-pl |   2 |    1 |  50
  6986 |   23 | rateus-pl |   2 |    2 |   8
  6986 |   23 | rateus-pl |   2 |    3 |  12
  6986 |   23 | rateus-pl |   2 |    4 |  80
  6987 |   23 | rateus-pl |   1 |    0 |   0
  6987 |   23 | rateus-pl |   1 |    1 |  48
  6987 |   23 | rateus-pl |   1 |    2 |  49
  6987 |   23 | rateus-pl |   1 |    3 |  99
  6987 |   23 | rateus-pl |   1 |    4 |   0
  6988 |   23 | rateus-pl |   3 |    0 |  94
  6988 |   23 | rateus-pl |   3 |    1 |  27
  6988 |   23 | rateus-pl |   3 |    2 |   1
  6988 |   23 | rateus-pl |   3 |    3 |   3
  6988 |   23 | rateus-pl |   3 |    4 |  70
  6989 |   23 | rateus-pl |   0 |    0 |  35
  6989 |   23 | rateus-pl |   0 |    1 |  55
  6989 |   23 | rateus-pl |   0 |    2 |  58
  6989 |   23 | rateus-pl |   0 |    3 |  58
  6989 |   23 | rateus-pl |   0 |    4 |  58
  6990 |   23 | rateus-pl |   1 |    0 |  24
  6990 |   23 | rateus-pl |   1 |    1 |  77
  6990 |   23 | rateus-pl |   1 |    2 |  78
  6990 |   23 | rateus-pl |   1 |    3 |  24
  6990 |   23 | rateus-pl |   1 |    4 |  23
  6991 |   23 | rateus-pl |   2 |    0 |  99
  6991 |   23 | rateus-pl |   2 |    1 |  93
  6991 |   23 | rateus-pl |   2 |    2 |   3
  6991 |   23 | rateus-pl |   2 |    3 |   2
  6991 |   23 | rateus-pl |   2 |    4 |  98
  6992 |   23 | rateus-pl |   3 |    0 |  67
  6992 |   23 | rateus-pl |   3 |    1 |  53
  6992 |   23 | rateus-pl |   3 |    2 |  27
  6992 |   23 | rateus-pl |   3 |    3 |  40
  6992 |   23 | rateus-pl |   3 |    4 |  62
  6993 |   23 | rateus-pl |   0 |    0 |  17
  6993 |   23 | rateus-pl |   0 |    1 |  37
  6993 |   23 | rateus-pl |   0 |    2 |  54
  6993 |   23 | rateus-pl |   0 |    3 |  33
  6993 |   23 | rateus-pl |   0 |    4 |  16
  6994 |   23 | rateus-pl |   1 |    0 |  21
  6994 |   23 | rateus-pl |   1 |    1 |  35
  6994 |   23 | rateus-pl |   1 |    2 |  46
  6994 |   23 | rateus-pl |   1 |    3 |  61
  6994 |   23 | rateus-pl |   1 |    4 |  63
  6995 |   23 | rateus-pl |   2 |    0 |  80
  6995 |   23 | rateus-pl |   2 |    1 |  22
  6995 |   23 | rateus-pl |   2 |    2 |  15
  6995 |   23 | rateus-pl |   2 |    3 |  14
  6995 |   23 | rateus-pl |   2 |    4 |  78
  6996 |   23 | rateus-pl |   3 |    0 |  49
  6996 |   23 | rateus-pl |   3 |    1 |   0
  6996 |   23 | rateus-pl |   3 |    2 |   0
  6996 |   23 | rateus-pl |   3 |    3 |   1
  6996 |   23 | rateus-pl |   3 |    4 |  49
