sid,stid,name,ord,val
6956,23,demo-2-pl,6,0
6956,23,demo-2-pl,7,1
6956,23,demo-2-pl,8,0
6956,23,demo-2-pl,9,4
6957,23,demo-2-pl,0,1
6957,23,demo-2-pl,2,1986
6957,23,demo-2-pl,3,3
6957,23,demo-2-pl,4,4
6957,23,demo-2-pl,6,0
6957,23,demo-2-pl,7,1
6957,23,demo-2-pl,8,0
6957,23,demo-2-pl,9,5
6958,23,demo-2-pl,0,0
6958,23,demo-2-pl,2,1996
6958,23,demo-2-pl,3,0
6958,23,demo-2-pl,4,5
6958,23,demo-2-pl,6,1
6958,23,demo-2-pl,7,1
6958,23,demo-2-pl,8,0
6958,23,demo-2-pl,9,4
6959,23,demo-2-pl,0,0
6959,23,demo-2-pl,2,1986
6959,23,demo-2-pl,3,2
6959,23,demo-2-pl,4,5
6959,23,demo-2-pl,6,0
6959,23,demo-2-pl,7,1
6959,23,demo-2-pl,8,0
6959,23,demo-2-pl,9,3
6960,23,demo-2-pl,0,1
6960,23,demo-2-pl,2,1994
6960,23,demo-2-pl,3,2
6960,23,demo-2-pl,4,4
6960,23,demo-2-pl,6,1
6960,23,demo-2-pl,7,1
6960,23,demo-2-pl,8,2
6960,23,demo-2-pl,9,1
6961,23,demo-2-pl,0,0
6961,23,demo-2-pl,2,1979
6961,23,demo-2-pl,3,0
6961,23,demo-2-pl,4,6
6961,23,demo-2-pl,6,1
6961,23,demo-2-pl,7,2
6961,23,demo-2-pl,8,0
6961,23,demo-2-pl,9,4
6963,23,demo-2-pl,0,0
6963,23,demo-2-pl,2,2004
6963,23,demo-2-pl,3,0
6963,23,demo-2-pl,4,4
6963,23,demo-2-pl,6,1
6963,23,demo-2-pl,7,1
6963,23,demo-2-pl,8,0
6963,23,demo-2-pl,9,4
6964,23,demo-2-pl,0,0
6964,23,demo-2-pl,2,1951
6964,23,demo-2-pl,3,2
6964,23,demo-2-pl,4,4
6964,23,demo-2-pl,6,0
6964,23,demo-2-pl,7,1
6964,23,demo-2-pl,8,0
6964,23,demo-2-pl,9,5
6965,23,demo-2-pl,0,0
6965,23,demo-2-pl,2,1998
