  sid  | stid | category 
  7926 |   23 | HOP
  7931 |   23 | NEU
  7933 |   23 | ANG
  7936 |   23 | COM
  7939 |   23 | HOP
  7944 |   23 | NEU
  7946 |   23 | ANG
  7950 |   23 | COM
  7952 |   23 | HOP
  7953 |   23 | NEU
  7954 |   23 | ANG
  7958 |   23 | COM
  7960 |   23 | HOP
  7964 |   23 | NEU
  7966 |   23 | ANG
  7967 |   23 | COM
  7969 |   23 | HOP
  7974 |   23 | NEU
  7987 |   23 | COM
  7997 |   23 | HOP
  8000 |   23 | NEU
  8001 |   23 | ANG
  8002 |   23 | HOP
  8007 |   23 | NEU
  8009 |   23 | ANG
  8011 |   23 | COM
  8012 |   23 | HOP
  8014 |   23 | NEU
  8016 |   23 | ANG
  8027 |   23 | HOP
  8028 |   23 | NEU
  8029 |   23 | NEU
  8030 |   23 | NEU
  8033 |   23 | COM
  8034 |   23 | ANG
  8035 |   23 | COM
  8038 |   23 | ANG
  8039 |   23 | HOP
  8040 |   23 | ANG
  8044 |   23 | COM
  8047 |   23 | HOP
  8048 |   23 | HOP
  8051 |   23 | ANG
  8053 |   23 | NEU
  8056 |   23 | ANG
  8057 |   23 | ANG
  8059 |   23 | COM
  8062 |   23 | COM
  8064 |   23 | HOP
  8068 |   23 | NEU
  8070 |   23 | NEU
  8072 |   23 | ANG
  8074 |   23 | ANG
  8075 |   23 | NEU
  8077 |   23 | COM
  8079 |   23 | COM
  8083 |   23 | NEU
  8084 |   23 | HOP
  8086 |   23 | HOP
  8089 |   23 | HOP
  8094 |   23 | NEU
  8097 |   23 | NEU
  8106 |   23 | ANG
  8114 |   23 | ANG
  8118 |   23 | ANG
  8147 |   23 | COM
  8162 |   23 | HOP
  8164 |   23 | COM
  8181 |   23 | HOP
  8182 |   23 | HOP
  8197 |   23 | NEU
  8199 |   23 | NEU
  8227 |   23 | ANG
  8228 |   23 | NEU
  8230 |   23 | COM
  8233 |   23 | HOP
  8234 |   23 | COM
  8235 |   23 | ANG
  8239 |   23 | COM
  8240 |   23 | COM
  8242 |   23 | HOP
  8249 |   23 | NEU
  8250 |   23 | COM
  8265 |   23 | ANG
  8286 |   23 | HOP
  8290 |   23 | HOP
