 sid  | stid |   name    | ord | part | opt 
 7404 |   23 | rateus-pl |   2 |    4 |  64
 7404 |   23 | rateus-pl |   2 |    3 |  65
 7404 |   23 | rateus-pl |   2 |    2 |  71
 7404 |   23 | rateus-pl |   2 |    1 |  73
 7404 |   23 | rateus-pl |   2 |    0 |  62
 7405 |   23 | rateus-pl |   3 |    4 |  74
 7405 |   23 | rateus-pl |   3 |    3 |  82
 7405 |   23 | rateus-pl |   3 |    2 |  64
 7405 |   23 | rateus-pl |   3 |    1 |  72
 7405 |   23 | rateus-pl |   3 |    0 |  71
 7406 |   23 | rateus-pl |   0 |    4 |  82
 7406 |   23 | rateus-pl |   0 |    0 |  85
 7406 |   23 | rateus-pl |   0 |    1 |  66
 7406 |   23 | rateus-pl |   0 |    2 |  54
 7406 |   23 | rateus-pl |   0 |    3 |  57
 7407 |   23 | rateus-pl |   3 |    3 |   6
 7407 |   23 | rateus-pl |   3 |    0 |  69
 7407 |   23 | rateus-pl |   3 |    1 |  15
 7407 |   23 | rateus-pl |   3 |    2 |   1
 7407 |   23 | rateus-pl |   3 |    4 |  23
 7409 |   23 | rateus-pl |   0 |    3 |   0
 7409 |   23 | rateus-pl |   0 |    4 |   0
 7409 |   23 | rateus-pl |   0 |    2 |  78
 7409 |   23 | rateus-pl |   0 |    1 |  67
 7409 |   23 | rateus-pl |   0 |    0 |   0
 7410 |   23 | rateus-pl |   0 |    0 |   0
 7410 |   23 | rateus-pl |   0 |    1 |  99
 7410 |   23 | rateus-pl |   0 |    2 |  99
 7410 |   23 | rateus-pl |   0 |    3 |  27
 7410 |   23 | rateus-pl |   0 |    4 |  50
 7411 |   23 | rateus-pl |   0 |    0 |   0
 7411 |   23 | rateus-pl |   0 |    4 |   0
 7411 |   23 | rateus-pl |   0 |    3 |   0
 7411 |   23 | rateus-pl |   0 |    2 |  99
 7411 |   23 | rateus-pl |   0 |    1 |  74
 7412 |   23 | rateus-pl |   1 |    3 |  70
 7412 |   23 | rateus-pl |   1 |    0 |  81
 7412 |   23 | rateus-pl |   1 |    4 |  10
 7412 |   23 | rateus-pl |   1 |    1 |  54
 7412 |   23 | rateus-pl |   1 |    2 |  78
 7413 |   23 | rateus-pl |   2 |    1 |  63
 7413 |   23 | rateus-pl |   2 |    4 |  75
 7413 |   23 | rateus-pl |   2 |    3 |   4
 7413 |   23 | rateus-pl |   2 |    2 |   2
 7413 |   23 | rateus-pl |   2 |    0 |  75
 7414 |   23 | rateus-pl |   3 |    4 |  29
 7414 |   23 | rateus-pl |   3 |    0 |  64
 7414 |   23 | rateus-pl |   3 |    1 |  53
 7414 |   23 | rateus-pl |   3 |    2 |   2
 7414 |   23 | rateus-pl |   3 |    3 |  16
 7415 |   23 | rateus-pl |   3 |    4 |  86
 7415 |   23 | rateus-pl |   3 |    3 |   0
 7415 |   23 | rateus-pl |   3 |    2 |   0
 7415 |   23 | rateus-pl |   3 |    1 |  71
 7415 |   23 | rateus-pl |   3 |    0 |  86
 7416 |   23 | rateus-pl |   3 |    0 |  49
 7416 |   23 | rateus-pl |   3 |    4 |   0
 7416 |   23 | rateus-pl |   3 |    3 |   1
 7416 |   23 | rateus-pl |   3 |    2 |   1
 7416 |   23 | rateus-pl |   3 |    1 |   1
 7417 |   23 | rateus-pl |   2 |    4 |  83
 7417 |   23 | rateus-pl |   2 |    3 |  78
 7417 |   23 | rateus-pl |   2 |    2 |  29
 7417 |   23 | rateus-pl |   2 |    1 |  73
 7417 |   23 | rateus-pl |   2 |    0 |  62
 7418 |   23 | rateus-pl |   3 |    3 |  51
 7418 |   23 | rateus-pl |   3 |    4 |  50
 7418 |   23 | rateus-pl |   3 |    2 |   2
 7418 |   23 | rateus-pl |   3 |    1 |  35
 7418 |   23 | rateus-pl |   3 |    0 |  66
 7420 |   23 | rateus-pl |   1 |    1 |  99
 7420 |   23 | rateus-pl |   1 |    4 |   0
 7420 |   23 | rateus-pl |   1 |    3 |  98
 7420 |   23 | rateus-pl |   1 |    2 |  98
 7420 |   23 | rateus-pl |   1 |    0 |   1
 7421 |   23 | rateus-pl |   2 |    3 |   1
 7421 |   23 | rateus-pl |   2 |    0 |  86
 7421 |   23 | rateus-pl |   2 |    4 |  54
 7421 |   23 | rateus-pl |   2 |    1 |   8
 7421 |   23 | rateus-pl |   2 |    2 |   1
 7422 |   23 | rateus-pl |   2 |    0 |  96
 7422 |   23 | rateus-pl |   2 |    4 |  95
 7422 |   23 | rateus-pl |   2 |    3 |   5
 7422 |   23 | rateus-pl |   2 |    2 |   5
 7422 |   23 | rateus-pl |   2 |    1 |  96
 7424 |   23 | rateus-pl |   1 |    0 |   7
 7424 |   23 | rateus-pl |   1 |    1 |  74
 7424 |   23 | rateus-pl |   1 |    2 |  97
 7424 |   23 | rateus-pl |   1 |    3 |  82
 7424 |   23 | rateus-pl |   1 |    4 |  13
 7425 |   23 | rateus-pl |   0 |    0 |   0
 7425 |   23 | rateus-pl |   0 |    4 |   0
 7425 |   23 | rateus-pl |   0 |    3 |   0
 7425 |   23 | rateus-pl |   0 |    2 |  99
 7425 |   23 | rateus-pl |   0 |    1 |  80
 7426 |   23 | rateus-pl |   0 |    0 |   4
 7426 |   23 | rateus-pl |   0 |    1 |  82
 7426 |   23 | rateus-pl |   0 |    2 |  89
 7426 |   23 | rateus-pl |   0 |    3 |   0
 7426 |   23 | rateus-pl |   0 |    4 |   1
 7427 |   23 | rateus-pl |   1 |    0 |   0
 7427 |   23 | rateus-pl |   1 |    4 |   2
 7427 |   23 | rateus-pl |   1 |    3 |  99
 7427 |   23 | rateus-pl |   1 |    2 |  80
 7427 |   23 | rateus-pl |   1 |    1 |  98
 7429 |   23 | rateus-pl |   1 |    0 |  54
 7429 |   23 | rateus-pl |   1 |    4 |  42
 7429 |   23 | rateus-pl |   1 |    3 |  29
 7429 |   23 | rateus-pl |   1 |    2 |  12
 7429 |   23 | rateus-pl |   1 |    1 |  40
 7430 |   23 | rateus-pl |   2 |    4 |  99
 7430 |   23 | rateus-pl |   2 |    0 |  99
 7430 |   23 | rateus-pl |   2 |    1 |  90
 7430 |   23 | rateus-pl |   2 |    2 |   0
 7430 |   23 | rateus-pl |   2 |    3 |  21
 7433 |   23 | rateus-pl |   3 |    4 |  17
 7433 |   23 | rateus-pl |   3 |    1 |  60
 7433 |   23 | rateus-pl |   3 |    2 |  29
 7433 |   23 | rateus-pl |   3 |    3 |  65
 7433 |   23 | rateus-pl |   3 |    0 |  30
 7434 |   23 | rateus-pl |   0 |    4 |   0
 7434 |   23 | rateus-pl |   0 |    0 |   2
 7434 |   23 | rateus-pl |   0 |    1 |  72
 7434 |   23 | rateus-pl |   0 |    2 |  77
 7434 |   23 | rateus-pl |   0 |    3 |  11
 7435 |   23 | rateus-pl |   0 |    1 |  71
 7435 |   23 | rateus-pl |   0 |    0 |   5
