 sid  |   code   | stid |   name    | ord |  val  
 6903 | swrT9VPE |   23 | demo-2-pl |   3 | 2
 6903 | swrT9VPE |   23 | demo-2-pl |   2 | 1955
 6903 | swrT9VPE |   23 | demo-2-pl |   0 | 1
 6904 | swrVAnK4 |   23 | demo-2-pl |   8 | 1
 6904 | swrVAnK4 |   23 | demo-2-pl |   7 | 2
 6904 | swrVAnK4 |   23 | demo-2-pl |   6 | 0
 6904 | swrVAnK4 |   23 | demo-2-pl |   4 | 3
 6904 | swrVAnK4 |   23 | demo-2-pl |   3 | 2
 6904 | swrVAnK4 |   23 | demo-2-pl |   2 | 1987
 6904 | swrVAnK4 |   23 | demo-2-pl |   0 | 0
 6904 | swrVAnK4 |   23 | demo-2-pl |   9 | 5
 6905 | swrzAfEH |   23 | demo-2-pl |   2 | 1990
 6905 | swrzAfEH |   23 | demo-2-pl |   3 | 2
 6905 | swrzAfEH |   23 | demo-2-pl |   4 | 5
 6905 | swrzAfEH |   23 | demo-2-pl |   6 | 1
 6905 | swrzAfEH |   23 | demo-2-pl |   7 | 0
 6905 | swrzAfEH |   23 | demo-2-pl |   8 | 1
 6905 | swrzAfEH |   23 | demo-2-pl |   9 | 3
 6905 | swrzAfEH |   23 | demo-2-pl |   0 | 1
 6906 | swrJh3Mv |   23 | demo-2-pl |   4 | 6
 6906 | swrJh3Mv |   23 | demo-2-pl |   9 | 3
 6906 | swrJh3Mv |   23 | demo-2-pl |   8 | 2
 6906 | swrJh3Mv |   23 | demo-2-pl |   7 | 1
 6906 | swrJh3Mv |   23 | demo-2-pl |   6 | 0
 6906 | swrJh3Mv |   23 | demo-2-pl |   0 | 1
 6906 | swrJh3Mv |   23 | demo-2-pl |   3 | 0
 6906 | swrJh3Mv |   23 | demo-2-pl |   2 | 1976
 6907 | swrJssj8 |   23 | demo-2-pl |   9 | 3
 6907 | swrJssj8 |   23 | demo-2-pl |   8 | 1
 6907 | swrJssj8 |   23 | demo-2-pl |   7 | 1
 6907 | swrJssj8 |   23 | demo-2-pl |   6 | 0
 6907 | swrJssj8 |   23 | demo-2-pl |   4 | 6
 6907 | swrJssj8 |   23 | demo-2-pl |   3 | 4
 6907 | swrJssj8 |   23 | demo-2-pl |   2 | 1986
 6907 | swrJssj8 |   23 | demo-2-pl |   0 | 1
 6908 | swrUChZh |   23 | demo-2-pl |   0 | 1
 6908 | swrUChZh |   23 | demo-2-pl |   9 | 4
 6908 | swrUChZh |   23 | demo-2-pl |   8 | 1
 6908 | swrUChZh |   23 | demo-2-pl |   7 | 2
 6908 | swrUChZh |   23 | demo-2-pl |   6 | 1
