 sid  | stid | category | ord | mh | fh 
 7146 |   23 | ANG      |   0 |  0 |  0
 7146 |   23 | ANG      |   1 |  0 |  0
 7146 |   23 | ANG      |   2 |  0 |  0
 7146 |   23 | ANG      |   3 |  2 |  0
 7146 |   23 | ANG      |   4 |  2 |  1
 7146 |   23 | ANG      |   5 |  0 |  0
 7146 |   23 | ANG      |   6 |  0 |  0
 7146 |   23 | ANG      |   7 |  3 |  0
 7146 |   23 | ANG      |   8 |  2 |  0
 7146 |   23 | ANG      |   9 |  0 |  0
 7146 |   23 | ANG      |  10 |  2 |  0
 7146 |   23 | ANG      |  11 |  3 |  0
 7146 |   23 | ANG      |  12 |  1 |  0
 7146 |   23 | ANG      |  13 |  0 |  0
 7146 |   23 | ANG      |  14 |  0 |  0
 7040 |   23 | ANG      |   6 |  0 |  0
 7040 |   23 | ANG      |   7 |  0 |  0
 7040 |   23 | ANG      |   8 |  1 |  0
 7040 |   23 | ANG      |   9 |  0 |  0
 7148 |   23 | ANG      |   0 |  0 |  0
 7149 |   23 | ANG      |   0 |  0 |  0
 7148 |   23 | ANG      |   1 |  0 |  0
 7149 |   23 | ANG      |   1 |  0 |  0
 7148 |   23 | ANG      |   2 |  0 |  0
 7149 |   23 | ANG      |   2 |  0 |  0
 7148 |   23 | ANG      |   3 |  0 |  0
 7148 |   23 | ANG      |   4 |  0 |  0
 7149 |   23 | ANG      |   3 |  1 |  0
 7148 |   23 | ANG      |   5 |  0 |  0
 7148 |   23 | ANG      |   6 |  0 |  0
 7148 |   23 | ANG      |   7 |  1 |  0
 7148 |   23 | ANG      |   8 |  0 |  0
 7148 |   23 | ANG      |   9 |  1 |  0
 7148 |   23 | ANG      |  10 |  1 |  0
 7148 |   23 | ANG      |  11 |  0 |  0
 7148 |   23 | ANG      |  12 |  1 |  0
 7148 |   23 | ANG      |  13 |  0 |  0
 7148 |   23 | ANG      |  14 |  0 |  0
 7040 |   23 | ANG      |  10 |  1 |  0
 7040 |   23 | ANG      |  11 |  2 |  0
 7040 |   23 | ANG      |  12 |  1 |  0
 7040 |   23 | ANG      |  13 |  0 |  0
 7040 |   23 | ANG      |  14 |  0 |  1
 7312 |   23 | ANG      |   4 |  0 |  0
 6997 |   23 | ANG      |   1 |  0 |  0
 7345 |   23 | ANG      |   2 |  0 |  0
 7001 |   23 | ANG      |   6 |  0 |  0
 7345 |   23 | ANG      |   3 |  1 |  0
 7345 |   23 | ANG      |   4 |  1 |  0
 7494 |   23 | ANG      |   8 |  0 |  0
 7295 |   23 | ANG      |  12 |  0 |  0
 7345 |   23 | ANG      |   5 |  0 |  0
 7345 |   23 | ANG      |   6 |  0 |  0
 7312 |   23 | ANG      |   5 |  0 |  0
 7345 |   23 | ANG      |   7 |  0 |  0
 7345 |   23 | ANG      |   8 |  0 |  0
 7001 |   23 | ANG      |   7 |  0 |  0
 7345 |   23 | ANG      |   9 |  3 |  0
 6924 |   23 | ANG      |   4 |  2 |  0
 7643 |   23 | ANG      |   1 |  0 |  0
 7643 |   23 | ANG      |   0 |  0 |  0
 7044 |   23 | ANG      |   0 |  1 |  0
 6964 |   23 | ANG      |  11 |  0 |  0
 7044 |   23 | ANG      |   1 |  2 |  0
 7044 |   23 | ANG      |   2 |  2 |  0
 7044 |   23 | ANG      |   3 |  2 |  0
 6964 |   23 | ANG      |  12 |  0 |  0
 7044 |   23 | ANG      |   4 |  0 |  0
 7501 |   23 | ANG      |   4 |  0 |  0
 7312 |   23 | ANG      |   6 |  0 |  0
 7373 |   23 | ANG      |   0 |  2 |  0
 7494 |   23 | ANG      |  11 |  2 |  0
 7502 |   23 | ANG      |  13 |  0 |  0
 7317 |   23 | ANG      |   0 |  0 |  0
 7467 |   23 | ANG      |  14 |  0 |  0
 7467 |   23 | ANG      |  13 |  1 |  0
 7381 |   23 | ANG      |   0 |  1 |  0
